protein	CNN	RNABERT	SpliceBERT	RNA-FM (LoRA)
ELAVL1	0.9465	0.933	0.9614	0.9579
EWSR1	0.8444	0.8236	0.8767	0.8747
FUS	0.8259	0.7975	0.8499	0.846
IGF2BP1	0.7971	0.7506	0.8543	0.8426
IGF2BP2	0.7575	0.6882	0.7827	0.7956
IGF2BP3	0.7903	0.719	0.7204	0.8177
LIN28B	0.7358	0.7062	0.8631	0.774
MATR3	0.9599	0.9499	0.9747	0.9714
PTBP1	0.96	0.9542	0.9717	0.9774
PUM1	0.6786	0.529	0.8402	0.6967
PUM2	0.9351	0.5761	0.9493	0.939
QKI	0.9639	0.7673	0.965	0.9465
RBFOX2	0.7901	0.7178	0.8392	0.8099
TARDBP	0.9874	0.9595	0.9883	0.9882
TIA1	0.8361	0.8075	0.8712	0.8629
U2AF1	0.9558	0.9136	0.9733	0.9536
MEAN	0.8603	0.7871	0.8926	0.8784
